County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
L,Roxbury,"Sat, 05/06 08:30",4.3M,Roxbury Road Race Series,$5 contribution per runner,2017-05-06T08:30:00Z,5,6,6
H,Granby,"Sat, 05/06 09:00",10K,Granby Road Race,.$35,2017-05-06T09:00:00Z,5,6,6
H,Granby,"Sat, 05/06 09:00",5K,Granby Road Race,.$30,2017-05-06T09:00:00Z,5,6,6
H,Enfield,"Sat, 05/06 09:00",5K,Cinco K Mayo,"$25, $30 raceday",2017-05-06T09:00:00Z,5,6,6
H,West Hartford,"Sat, 05/06 09:00",5K,HCBF Joseph Cassidy Memorial 5K,.$25,2017-05-06T09:00:00Z,5,6,6
F,Westport,"Sat, 05/06 09:00",5K,Susan G. Komen Race for the Cure,"Timed option - $25 through 1/31, $35 through 4/28, $40 afterwards;
 Youth - $10 through 1/31, $15 through 4/28, $20 afterwards",2017-05-06T09:00:00Z,5,6,6
F,Trumbull,"Sat, 05/06 09:30",5K,St. Thereas School Tiger Tail,.$25,2017-05-06T09:30:00Z,5,6,6
NH,Beacon Falls,"Sat, 05/06 10:00",5K,Jill's Run for MS,"$25, $30 raceday",2017-05-06T10:00:00Z,5,6,6
M,East Hampton,"Sat, 05/06 10:00",5K,Belltown Spring Sprint 5K,"$20, $10 17 and under, $10 65 and over, race day?",2017-05-06T10:00:00Z,5,6,6
NH,Milford,"Sat, 05/06 10:00",5K,Tracy's Run,"$20, $25 raceday",2017-05-06T10:00:00Z,5,6,6
W,Woodstock,"Sat, 05/06 10:00",5K,Jog with Judy,"$25, $30 raceday, $15 age 13 and under",2017-05-06T10:00:00Z,5,6,6
L,Sharon,"Sat, 05/06 10:15",5M,Sharon Classic Road Race,"$20 through 3/15, $25 through 5/5, raceday?",2017-05-06T10:15:00Z,5,6,6
L,Litchfield,"Sun, 05/07 08:00",Duathlon,Thrill in the Hills Duathlon,"$50 adult, $40 17 and under",2017-05-07T08:00:00Z,5,7,7
F,Redding,"Sun, 05/07 08:00",13.1M,Redding Road Races,$55; $60 for both races starting at 7:20 AM,2017-05-07T08:00:00Z,5,7,7
H,Southington,"Sun, 05/07 08:05",600 minutes,Spring Fling 600,$40 [125 runner limit],2017-05-07T08:05:00Z,5,7,7
H,Burlington,"Sun, 05/07 08:30",10K,Collinsville Classic,"$40 through 1/1, $45 through 4/19, $50 afterwards; Ages 12-22 - $5 off",2017-05-07T08:30:00Z,5,7,7
NH,Hamden,"Sun, 05/07 08:30",5K,The Cookie Challenge 5K,"$30 through 5/5, $35 afterwards",2017-05-07T08:30:00Z,5,7,7
F,Redding,"Sun, 05/07 08:35",7M,Redding Road Races,$40; $60 for both races starting at 7:20 AM,2017-05-07T08:35:00Z,5,7,7
NH,New Haven,"Sun, 05/07 09:00",5K Obstacle,Denali's Rock the Gauntlet,"$45 through ??, $55 afterwards; Students ages 25 & under - $30 through ??, $40 afterwards
 Both Run & Rock events - $95; Students - $65
 [Waves also available at 10 and 11 AM]",2017-05-07T09:00:00Z,5,7,7
L,Plymouth,"Sun, 05/07 09:00",5K,Edmund Ganem Memorial / Terryville Rotary 5K,"$15 through 4/21, $20 raceday",2017-05-07T09:00:00Z,5,7,7
NL,Montville,"Sun, 05/07 09:00",5K,Montville Lions Run,"$20, $10 for 15 and under",2017-05-07T09:00:00Z,5,7,7
L,Winchester,"Sun, 05/07 10:00",5K,Blue & Gold 5K,"$25 through 5/6, $30 afterwards; Ages 18 & under - $10 off; Gilbert School students - $10",2017-05-07T10:00:00Z,5,7,7
NH,Orange,"Sun, 05/07 10:00",5K,Cohen and Wolf Cinco K De Mayo,$20 through 4/28,2017-05-07T10:00:00Z,5,7,7
NH,Wolcott,"Sun, 05/07 10:00",5K,Circle of Sports 5K,"$20 through 4/21, $25 through ??; Students - $12",2017-05-07T10:00:00Z,5,7,7
F,Westport,"Sun, 05/07 10:00",5K,STAR's 12th Annual Walk/Run,.$25,2017-05-07T10:00:00Z,5,7,7
F,Bethel,"Sun, 05/07 11:00",Kids 1M,Healthy Kids Running Series - Week 2,$35 for 5-week series [4th - 8th grade ONLY],2017-05-07T11:00:00Z,5,7,7
L,Litchfield,"Sun, 05/07 12:00",5K,Girls Just Wanna Run,"WOMEN ONLY - $30 through 4/15, $35 afterwards. Girls 12 and under $18",2017-05-07T12:00:00Z,5,7,7
NH,Oxford,"Sun, 05/07 13:00",5K,Oxford Run the Rock/Hike the Hill,"$25, $30 raceday",2017-05-07T13:00:00Z,5,7,7
F,Stratford,"Wed, 05/10 18:00",5K,Stratford Spring Series,"$10, for $25 for whole series",2017-05-10T18:00:00Z,5,10,3
M,Middletown,"Fri, 05/12 18:00",5K,Cap and Gown 5K,"$20 through 5/9, $25 afterwards; Students - $15",2017-05-12T18:00:00Z,5,12,5
W,Thompson,"Sat, 05/13 08:00",10K,Terrain New England Race,"$35 through 4/23, $50 through ??, $90 through ?? 
 Additional fees: $9.95 for one-day insurance, $10 per car for parking, processing fee - $5-$9",2017-05-13T08:00:00Z,5,13,6
W,Thompson,"Sat, 05/13 08:00",5K,Terrain New England Race,"$30 through 4/23, $45 through ??, $80 through ?? 
 Additional fees: $9.95 for one-day insurance, $10 per car for parking, processing fee - $5-$9",2017-05-13T08:00:00Z,5,13,6
T,Vernon,"Sat, 05/13 08:00",8M,Legends of Silk City Striders Memorial Run,.$10,2017-05-13T08:00:00Z,5,13,6
F,Redding,"Sat, 05/13 08:15",5K,5K Trail Run,.$25,2017-05-13T08:15:00Z,5,13,6
L,Roxbury,"Sat, 05/13 08:30",3.52M,Roxbury Road Race Series,contributions for the Shepaug Valley HS Class of 2017,2017-05-13T08:30:00Z,5,13,6
H,Glastonbury,"Sat, 05/13 08:30",5K,Bill Landers 5K,"$25, $15 youth",2017-05-13T08:30:00Z,5,13,6
F,Greenwich,"Sat, 05/13 08:30",3M,Riverside Run,"$20 through 5/10, $30 afterwards",2017-05-13T08:30:00Z,5,13,6
F,Brookfield,"Sat, 05/13 09:00",5K,Mother's Day 5K,"$20 through 5/12, $30 raceday",2017-05-13T09:00:00Z,5,13,6
NL,Voluntown,"Sat, 05/13 09:00",5K,YSB Super 5K,"$25, $10 ages 18 and under",2017-05-13T09:00:00Z,5,13,6
